PARK_NAME,PARK_STATUS,PARK_TYPE,SUB_TYPE,AREA_HECTARES,EXISTING_PARK_NO,CONSTRUCTED_YEAR,ACCESS_POINTS,COMPKEY,OBJECTID,Shape__Area,Shape__Length
MAITLAND PARK SOUTH,ACTIVE,ENVIRONMENTAL PARKS,VALLEY,4.699,294,1980,"WILLIAMS PKWY, MAITLAND ST, MAJESTIC CRES, MAYFAIR CRES",138417,589,90071.37890625,1592.80791271298
CHRISTOPHER STORK POND,ACTIVE,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,4.477,1604,2016,,214343,590,85618.64453125,1956.34990340412
SHIELDS VALLEY,ACTIVE,ENVIRONMENTAL PARKS,VALLEY,12.519,493,2004,"BUTTERFLY RIDGE CRT, MAPLECREST CRT",138687,591,240246.46875,3234.25624328376
SNURETOWN POND WEST,ACTIVE,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,1.923,1645,2013,,469513,592,36748.48046875,850.843769267275
HERZIG POND,ACTIVE,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,1.94,1644,2014,,217430,593,37261.75,797.188266538296
HERZIG VALLEY,ACTIVE,ENVIRONMENTAL PARKS,VALLEY,6.465,689,2014,,469720,594,124195.05078125,2404.2445723947
RIVER HEIGHTS VALLEY,ACTIVE,ENVIRONMENTAL PARKS,VALLEY,3.999,513,2010,COTTRELLE BLVD,138538,595,76782.40234375,1669.43560254412
ROEHAMPTON PARK,ACTIVE,NEIGHBOURHOOD PARKS,LOCAL,1.937,100,1981,"PEELTON HEIGHTS RD, ROEHAMPTON CR, KEYSTONE DR",138544,596,37038.3828125,1108.07085462865
ROYAL SALISBURY PARKETTE,ACTIVE,NEIGHBOURHOOD PARKS,PARKETTE,0.587,242,1980,"ROYAL SALISBURY WAY, CARL DALLII CRT, CAVALIER CRT",138552,597,11238.47265625,648.000369351363
FARAD POND,ACTIVE,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,1.602,1533,2005,PECAN DR,138238,598,30766.69921875,852.54673222137
NEWTON PARK,ACTIVE,NEIGHBOURHOOD PARKS,LOCAL,1.551,171,1980,"NEWTON CRT, DANTEK CRT, SKELTON BLVD",138474,599,29691.11328125,947.710672692917
BECK VALLEY,ACTIVE,ENVIRONMENTAL PARKS,VALLEY,8.649,443,2005,"ICECAP CRT, KOOTENAY PL, STONECREST DR, SWITCHBACK TRAIL, PINE LANDING TRAIL, TRAILHEAD CRES, FRESHSPRING DR, CEDARCLIFF TRAIL",199565,600,166005.453125,2580.54286360778
TRUDELLE PARKETTE,ACTIVE,NEIGHBOURHOOD PARKS,PARKETTE,1.558,011,2004,"TRUDELLE CRES, LUELLA CRES, BRIDALE DR",138758,601,29823.41015625,800.528567318938
ASHURST PARK,ACTIVE,NEIGHBOURHOOD PARKS,LOCAL,3.28,229,1980,"ASHURST CR, WIKANDER WAY, MARTREE CR, WINTERFOLD DR",138001,602,62855.015625,1559.9473372196
JACKSONVILLE PARK,ACTIVE,NEIGHBOURHOOD PARKS,PARKETTE,0.528,470,2009,JACKSONVILLE DR,138331,603,10144.578125,395.524862285803
CCA WILD WATER KINGDOM,ACTIVE,CONSERVATION AUTHORITY-OWNED LANDS ,CONSERVATION AREA,43.576,371,1986,,,604,835546.08203125,4203.23832023157
VALLEYLANDS 772,ACTIVE,ENVIRONMENTAL PARKS,VALLEY,31.592,772,,,138212,605,603803.90234375,6203.22263057776
CONSERVATION LANDS 999,ACTIVE,CONSERVATION AUTHORITY-OWNED LANDS(CITY MAINTAINED),CONSERVATION AREA,6.572,669,,,,606,125572.01171875,1496.16694023883
HAZELWOOD PARK NORTH,ACTIVE,ENVIRONMENTAL PARKS,VALLEY,0.995,257,1975,"HOWDEN BLVD, LANGLEY PL, HAZELWOOD DR",138299,607,19039.70703125,1121.59720078551
KANEFF PARK,ACTIVE,NEIGHBOURHOOD PARKS,LOCAL,1.917,095,1981,PAGEBROOK CT,138352,608,36659.91015625,835.536305820338
CARUSO PARK,ACTIVE,NEIGHBOURHOOD PARKS,PARKETTE,1.006,089,1985,"MILL ST S, WESTGATE WK",138093,609,19245.33203125,548.579137310129
